price,Address,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,Status,neworold,parking,Furnished_status,Lift,Landmarks,type_of_building,desc,Price_sqft
2590000.0,"Sonarpur, Kolkata - South, West Bengal",834.0,22.4393679,88.4071442,2.0,2.0,,Under Construction,New Property,,,1.0,,Flat,"


                                JG Golden Heights is only 10 min from Sonarpur Station, 20 min from Kamalgazi, and from the EM Bypass, next to the new Liver Foundation and other hospitals, schools, markets, shopping malls and multiplexes and is going to end your search for a flat near Sonarpur in South Kolkata.
                            
more

",3105.515587529976
6220000.0,"Howrah, Kolkata - Howrah, West Bengal",1206.0,22.6041,88.29764,2.0,2.0,,Under Construction,New Property,,,2.0,,Flat,"


                                Where word ends, perception begins. Certain things in life deserve more than spoken words. Dulcet drizzles, crimson clouds over flowing river, touch of nature, whiff of happiness, taste of freedom, are only felt at heart & sensed by soul. You perceive & get carried away with the pure essence of life.It's the perfect living that brews the essence of life. And it's the Essense that brings a perfect life within your reach.
                            
more

",5157.545605306799
47500000.0,"Alipore, Kolkata - South, West Bengal",4527.0,22.5263995,88.3224705,3.0,4.0,,Ready to Move,New Property,1.0,,2.0,alipore horticulture,Flat,"
                    
                    
                    
                       Keventer Group has launched its premium housing project, Crosswinds, in Alipore, Kolkata. The project offers 3, 4 BHK Apartment from 4527 sqft to 5359 sqft in Kolkata South
                    
                ",10492.599955820631
10400000.0,"New Alipore, Kolkata - South, West Bengal",1036.0,22.492509,88.339086,3.0,2.0,,Under Construction,New Property,1.0,,,,Flat,"


                                The project offers an Apartment with the perfect combination of contemporary architecture and features to provide a comfortable living. The Apartment is of the following configurations  3BHK and 4BHK The size of the Apartment ranges between 1100sqft to 1967 Sq. ft Morya's price range is 1.06 Cr. & 1.80 Cr.Package Price of Morya includes Flat Value + one Open Car Park + EDC + GST
                            
more

",10038.610038610039
3780000.0,"Barasat, Kolkata - North, West Bengal",1260.0,22.72118,88.481567,2.0,2.0,,Ready to Move,New Property,1.0,Unfurnished,2.0,,Flat,"


                                This multistorey apartment is well located available with all the modern amenities. It is conveniently located in Barasat, Kolkata at a distance of 7 minutes from Barasat Railway Station. This flat is finished with vitrified tiles flooring, aluminum sliding windows and all branded electrical and sanitary fittings. Amenities include power backup, lift, swimming pool, reserved parking, club house, gymnasium and visitor parking.
                            
more

",3000.0
3620000.0000000005,"Narendrapur, Kolkata - South, West Bengal",882.0,22.437127,88.393928,2.0,2.0,,Under Construction,New Property,1.0,,2.0,,Flat,"


                                Live like a king in this habitat of comfort and happiness. Sunny between the sunrise and the sunset mystic with the star-studded horizons, Su Casa inspires a royal living. Strategically located at the confluence of Greater Kolkata buzz and the serene EM Bypass, Su Casa Royal is a perfect balance between happening urban life and a life enriched with nature's bliss. Apure haven of absolute contentment, Su Casa Royal makes living truly meaningful.
                            
more

",4104.308390022677
5200000.0,"Rajarhat, Kolkata - East, West Bengal",1000.0,22.6334039,88.4570012,2.0,2.0,,Under Construction,New Property,,,2.0,,Flat,"
                    
                    
                    
                       Residential Apartment will well equiped modern external and internal amenities.
                    
                ",5200.0
7000000.0,"Rajarhat, Kolkata - East, West Bengal",1970.0,22.582889,88.455538,3.0,3.0,,Ready to Move,New Property,1.0,Unfurnished,,,Flat,"


                                There is a place where graceful tree lined avenues run across a vast expanse of wide open spaces. Where villa-like homes open out to private gardens. Where sky gardens take luxury to new heights. Where the living experience speaks of luxury that is beyond all expectations. Where villa-like homes open out to private gardens. Where sky gardens take luxury to new heights. Where the living experience speaks of luxury that is beyond all expectations.
                            
more

",3553.299492385787
2550000.0,"Sonarpur, Kolkata - South, West Bengal",823.0,22.4393679,88.4071442,2.0,2.0,,Under Construction,New Property,,,1.0,,Flat,"


                                JG Golden Heights is only 10 min from Sonarpur Station, 20 min from Kamalgazi, and from the EM Bypass, next to the new Liver Foundation and other hospitals, schools, markets, shopping malls and multiplexes and is going to end your search for a flat near Sonarpur in South Kolkata.
                            
more

",3098.4204131227216
2970000.0,"Sonarpur, Kolkata - South, West Bengal",957.0,22.4393679,88.4071442,2.0,2.0,,Under Construction,New Property,,,1.0,,Flat,"


                                JG Golden Heights is only 10 min from Sonarpur Station, 20 min from Kamalgazi, and from the EM Bypass, next to the new Liver Foundation and other hospitals, schools, markets, shopping malls and multiplexes and is going to end your search for a flat near Sonarpur in South Kolkata.
                            
more

",3103.448275862069
